id,tag,name,defi_llama_slug,networks,website,logo,description,agreement,agreement_hash,agent,pay_year,pay_contracts,premium,covered,fee,fee $ / year,Sherlock Fee (%),Nexus Share,Sherlock Share,Sherlock Fee Real,Nexus Share ($)
0x3019e52a670390f24e4b9b58af62a7367658e457bbb07f86b19b213ec74b5be7,euler,Euler,euler,Ethereum,https://www.euler.finance/,,Euler is a non-custodial protocol on Ethereum that allows users to lend and borrow almost any crypto asset.,https://v1.sherlock.xyz/static/pdf/Euler%20Statement%20of%20Coverage%2012.14.21.pdf,#ERROR!,0xE130bA997B941f159ADc597F0d89a328554D4B3E,$0.00,0,,,,,,,,,
0x99b8883ea932491b57118762f4b507ebcac598bee27b98f443c06d889237d9a4,opyn,Squeeth by Opyn,opyn,Ethereum,https://www.opyn.co/,,"Squeeth (squared ETH) is a Power Perpetual that tracks the price of ETH². This functions similar to a perpetual swap where you are targeting ETH² rather than ETH. Long Squeeth gives traders a leveraged position with unlimited ETH² upside, protected downside, and no liquidations. Squeeth buyers pay a funding rate for this position. In contrast, short Squeeth is a short ETH² position, collateralized with ETH. Traders earn a funding rate for taking on this position, paid by long Squeeth holders.",https://github.com/sherlock-protocol/sherlock-reports/raw/442dc5b6d5f68d99d5a816469147208899a034aa/coverage-agreements/%5BPUBLIC%5D%20Opyn%20Squeeth%20Coverage%20Agreement%202023.06.23.pdf,0xf901b355253299d5badb4a63a7cf1441c37d64d0f6dae562dd71a2e11ce9617f,0x609FFF64429e2A275a879e5C50e415cec842c629,"$40,000.00",1268,4.00%,"$1,000,000.00",68.05%,"$27,220.00",10.00%,64.50%,35.50%,3.55%,"$645,000.00"
0x615307f589ff909e3b7cfbf4d4b4371eb99fa64353970d40b76c1c37381e5cf0,tempus,Tempus Finance,tempus-finance,Ethereum,https://tempus.finance/,,"Tempus is a multi-chain fixed-income protocol that integrates with lending protocols, staking protocols, and yield aggregators, and lets users fix or speculate on the yield generated by them.",https://v1.sherlock.xyz/static/pdf/Tempus_Statement_of_Coverage.pdf,#ERROR!,0xab40a7e3cef4afb323ce23b6565012ac7c76bfef,$0.00,0,,,,,,,,,
0xeae496e133d5a5216d30ca085cc88546283c6567e787523dcd439c33d09f9862,liquifi-2,LiquiFi,,Ethereum,https://www.liquifi.finance/,,"LiquiFi helps protocols automate their token vesting, manage compliance, and provide token holders greater visibility into their ownership",https://github.com/sherlock-protocol/sherlock-reports/raw/442dc5b6d5f68d99d5a816469147208899a034aa/coverage-agreements/%5BPUBLIC%5D%20Liquifi%20Coverage%20Agreement%202023.06.23.pdf,0xe00b8c41cfee8e6a7f89742c0d066c99e95f03668f9d239b92809bbe76f7949a,0x2d697A19192f0e4B9887f3679FA50B9BB89D886c,"$40,000.00",1268,4.00%,"$1,000,000.00",47.80%,"$19,120.00",10.00%,42.00%,58.00%,5.80%,
0x9c832ff12f1059a111aeb390ae646e686435ffa13c2bdc61d499758b85c1a716,lyra,Avalon by Lyra,lyra,"Ethereum,Optimism,staking",https://www.lyra.finance/,,,https://github.com/sherlock-protocol/sherlock-reports/raw/a0dbb56763a336e4b90575adcb0bc9014f4beac9/coverage-agreements/Lyra%20Coverage%20Agreement.pdf,0x5b68e6e7068f78bd177828f7adc5ce0fd5ce6faa8849a44a6ec57cea9b218263,0x246d38588b16dd877c558b245e6d5a711c649fcf,$0.00,0,,,,,,,,,
0x47a46b3628edc31155b950156914c27d25890563476422202887ed4298fc3c98,usdc-incentives,USDC Incentives,,Ethereum,https://sherlock.xyz,,USDC Incentives for stakers,https://i.imgur.com/gATHiEc.png,0x1cfc44755d472e291ca6de38551abba24b75680fb97572ef02167b02a472df1a,0x666B8EbFbF4D5f0CE56962a25635CfF563F13161,$0.00,0,,,,,,,,,
0x7141e52f1187d2baa72e449b5470b3cd2b2cfe77ccade306ff9bcadf941a7a8d,hook,Hook,,Ethereum,https://www.hook.xyz/,,"Hook is an oracle-free, on-chain option protocol for non-fungible tokens (NFTs). Unlike many popular approaches to NFT DeFi, Hook does not sacrifice the non-fungible nature of NFTs by requiring that they are converted into fungible tokens. NFTs deposited into the Hook protocol only contain unique artistic images and do not contain, reference, represent the price, rate or level of any security, commodity, or financial instrument.",https://github.com/sherlock-protocol/sherlock-reports/raw/442dc5b6d5f68d99d5a816469147208899a034aa/coverage-agreements/%5BPUBLIC%5D%20Hook%20Coverage%20Agreement%202023.06.23.pdf,0x7eb14be735c9d70a55bbfaca89676f66385857e12721497c79c8448182e620ee,0xd8a0852fe7732d51e81d9bb398fb84543bad3240,"$10,000.00",317,4.00%,"$250,000.00",22.50%,"$2,250.00",,,,,
0x5af5b22283e35ef9d9d4a32753014cdc40fd7a5a5d920d83d2c1e901c10a0a7c,sentiment,Sentiment,,Arbitrum,,,,https://github.com/sherlock-protocol/sherlock-reports/raw/442dc5b6d5f68d99d5a816469147208899a034aa/coverage-agreements/%5BPUBLIC%5D%20Sentiment%20Coverage%20Agreement%202023.06.23.pdf,0x89301f61d270a139948c952a1a95fa291930ffbd1e070b2cbd9d9ebd617c17d0,0xC7f7a85CE029bd289B958523CBf8F1bB7b102C15,$0.00,0,4.00%,$0.00,22.50%,$0.00,,,,,
0x60dee29c004aa336ef555e6cfce86038a3e604dbf18852d98310112964b12048,perennial,Perennial,,Ethereum,https://perennial.finance/,,Perennial is a DeFi-native derivatives primitive that allows for the creation of two-sided markets that trade exposure to an underlying price feed in a capital efficient manner.,https://github.com/sherlock-protocol/sherlock-reports/raw/a9c0a92a0b23a18430bfb6a84950fdad8e28977f/coverage-agreements/Perennial%20Coverage%20Agreement%202023.10.02.pdf,0x0264fd3d63acd193c45672b9d81aa73bf05cdc9b3269bb32a02b8212bc6db2e6,0xA20ea565cD799e01A86548af5a2929EB7c767fC9,"$100,000.00",3171,5.00%,"$2,000,000.00",86.50%,"$86,500.00",10.00%,85.00%,15.00%,1.50%,"$1,700,000.00"
0xb544040099f1bc2a2592d756f8b36e66e213049b312844459226271402cd854c,mover,Holyheld,,"Ethereum, Polygon, Arbitrum, Optimism",https://viamover.com/,,Mover is building the web3 payment card primitives platform. We aim to help projects build on top/with us to bring their use cases to real world.,https://github.com/sherlock-protocol/sherlock-reports/raw/442dc5b6d5f68d99d5a816469147208899a034aa/coverage-agreements/%5BPUBLIC%5D%20Holyheld%20Coverage%20Agreement%202023.06.23.pdf,0x98bee3654c0ccb17d4ab026eabe74629b4abcb5c046783aa4c9525e787c2a7b5,0x7B26A7CfA36b289Dc9fbdcD8588570159E859677,$0.00,0,4.00%,"$50,000.00",22.50%,$0.00,,,,,
